,country,year,month,coal_perc,gas_perc,nuclear_perc,hydro_perc,wind_perc,solar_perc,renewables_perc,season,avg_temp_c,max_temp_c,min_temp_c,avg_sealevel_pressure_hpa,avg_daily_precipitation_mm,female_perc,male_perc,population_density,population_below_14_perc,population_above_65_perc,population_working_age_perc
2744,Portugal,2013,9,0.1497394875797707,0.07541440814925005,0.0,0.10781459089590446,0.10708151971561934,0.006187097599799882,0.2609772487363787,Autumn,21.033333333333335,36.8,6.7,1017.2700000000001,2.648979591836735,52,48,114,14,19,67
2745,Portugal,2013,10,0.14565341738633045,0.03233801350508884,0.0,0.13743416454905608,0.12633406609230705,0.005302264505227693,0.30599291888546726,Autumn,18.970967741935482,27.5,0.9,1015.6041666666666,5.025510204081633,52,48,114,14,19,67
2746,Portugal,2013,11,0.1182814302906215,0.0316787237391508,0.0,0.14115128207352728,0.15986922094001788,0.0044607656623168665,0.33583993198299084,Autumn,15.95,25.8,-3.9,1023.8799999999999,3.083168316831683,52,48,114,14,19,67
2747,Portugal,2013,12,0.08935433540461016,0.1472983263811392,0.0,0.09911169289509887,0.12122095531640656,0.003151798756422232,0.25225289643619087,Winter,14.064516129032258,22.5,-5.9,1024.557894736842,6.303921568627451,52,48,114,14,19,67
2748,Portugal,2014,1,0.07011327390165993,0.04008986799009507,0.0,0.21379363374002577,0.14590477579595865,0.002140037003430295,0.3810619628658616,Winter,13.783870967741937,22.3,0.9,1016.195,8.129411764705884,52,48,113,14,20,66
2749,Portugal,2014,2,0.05222068548558895,0.02985907506687704,0.0,0.2479242440133915,0.14591932168921704,0.002729451194563676,0.41139781887084687,Winter,13.148809523809524,22.3,-1.2,1015.7549999999999,7.804301075268817,52,48,113,14,20,66
2750,Portugal,2014,3,0.07478676512679604,0.04276207649468856,0.0,0.2275078097527866,0.11991078072994613,0.005080325965179134,0.3731299526508182,Spring,14.190322580645162,26.5,0.7,1019.8458333333333,3.63,52,48,113,14,20,66
2751,Portugal,2014,4,0.0752307114722847,0.04301593574851819,0.0,0.2557661174042789,0.089656577867626,0.005872588207536204,0.37236636244788374,Spring,15.534444444444443,30.8,3.2,1016.9100000000001,2.519230769230769,52,48,113,14,20,66
2752,Portugal,2014,5,0.12248336590713514,0.07003442431510921,0.0,0.11431841736614923,0.13588426946263688,0.008775723878693556,0.2922337505552202,Spring,17.109259259259257,32.3,3.8,1017.0105263157895,1.5042105263157894,52,48,113,14,20,66
2753,Portugal,2014,6,0.14680547525291057,0.0839414704906311,0.0,0.10805557361177158,0.09464058816888302,0.008766015388457631,0.2509874545411003,Summer,19.710810810810813,35.7,6.6,1017.2695652173913,1.3326086956521739,52,48,113,14,20,66
